epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,15106,1.36178,1.01304,1.31001,0.58956,0.4957,0.49453,0.28164,1.80243,1.23055,1.4258,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15342.2,1.3446,0.99535,1.30074,0.57465,0.50215,0.49594,0.28241,1.79302,1.22706,1.4164,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15591.7,1.34275,0.99545,1.30165,0.5696,0.50538,0.49899,0.28629,1.78084,1.21543,1.41134,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15859.5,1.33531,0.99265,1.29165,0.57177,0.50887,0.49832,0.28464,1.80204,1.21581,1.42477,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,16097.2,1.3477,0.98598,1.29519,0.57213,0.50645,0.50098,0.28417,1.8031,1.21487,1.4256,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,16346.1,1.33076,0.97728,1.29045,0.58033,0.51075,0.50471,0.28535,1.80441,1.20712,1.42513,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16594.4,1.31979,0.97816,1.29239,0.56264,0.51263,0.49861,0.28228,1.81915,1.21166,1.42891,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16839.5,1.32595,0.97383,1.28822,0.56375,0.50457,0.49601,0.28315,1.80218,1.21678,1.4253,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,17088.2,1.32206,0.97436,1.28154,0.57635,0.49839,0.49801,0.28473,1.80052,1.21961,1.41963,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,17340.9,1.30839,0.96278,1.27982,0.57491,0.5079,0.49715,0.28214,1.81586,1.22685,1.43937,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17589.9,1.29877,0.951,1.26925,0.57756,0.5164,0.50076,0.2856,1.80627,1.22042,1.43144,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17838.7,1.30622,0.95341,1.27369,0.57938,0.51962,0.50396,0.28964,1.78459,1.20431,1.41289,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,18086.4,1.28258,0.94192,1.27438,0.57705,0.51419,0.50331,0.28995,1.78871,1.19496,1.41151,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,18328.5,1.28079,0.94091,1.27589,0.57554,0.51237,0.49923,0.28996,1.78773,1.20646,1.41129,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18578.8,1.28212,0.94189,1.26858,0.57018,0.51172,0.49718,0.28924,1.78372,1.22505,1.41044,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18829.9,1.28953,0.93399,1.26093,0.57082,0.50941,0.49606,0.2883,1.79398,1.22811,1.41729,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,19076.1,1.27139,0.92124,1.25963,0.56981,0.51487,0.49876,0.28962,1.79586,1.20972,1.41998,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,19325.2,1.26909,0.92406,1.25456,0.56715,0.51452,0.4981,0.28781,1.8092,1.21303,1.43111,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19576.2,1.27298,0.91401,1.24418,0.56806,0.52204,0.50062,0.29113,1.80127,1.20216,1.42657,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19804.2,1.25514,0.9059,1.24318,0.57357,0.51887,0.50022,0.29003,1.79816,1.1995,1.42321,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,20057.9,1.27068,0.91536,1.25204,0.57479,0.52043,0.50131,0.28989,1.79351,1.20044,1.4201,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,20311.3,1.25073,0.90546,1.2439,0.56853,0.51828,0.49926,0.28909,1.79446,1.20944,1.42218,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,20564.6,1.24011,0.88699,1.23575,0.57784,0.51694,0.50128,0.29046,1.7886,1.20697,1.41411,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20816.4,1.25738,0.90271,1.23506,0.57244,0.51855,0.50134,0.29106,1.78242,1.21243,1.41244,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,21069.8,1.2441,0.89867,1.23607,0.56931,0.51962,0.50048,0.29113,1.77918,1.22025,1.41155,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,21321.3,1.23495,0.89341,1.23213,0.56639,0.51909,0.49959,0.29112,1.77925,1.22456,1.4128,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,21575.1,1.21587,0.87393,1.22189,0.56895,0.51661,0.49953,0.29087,1.78305,1.22671,1.41247,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21827.4,1.22138,0.85778,1.22304,0.56373,0.51826,0.49792,0.29064,1.7814,1.22917,1.41303,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,22071.4,1.21603,0.86889,1.22026,0.56078,0.51756,0.49747,0.29076,1.78112,1.22852,1.4139,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
